RebelLaser.wav			70 2000 ; 000__1_0 - RebelLaser
IonCannonTurbo.wav		75 2800 ; 070__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 070__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 070__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 070__1_0 - IonCannonStarship
unused ; 070__1_0 - unused
RebelLaser.wav			70 2000 ; 071_0_53_ContainerBrick - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 071_0_53_ContainerBrick - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 071_0_53_ContainerBrick - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 071_0_53_ContainerBrick - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 071_0_53_ContainerBrick - IonCannon
IonCannonTurbo.wav		75 2800 ; 071_0_53_ContainerBrick - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 071_0_53_ContainerBrick - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 071_0_53_ContainerBrick - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 071_0_53_ContainerBrick - IonCannonStarship
unused ; 071_0_53_ContainerBrick - unused
RebelLaser.wav			70 2000 ; 072_0_54_ContainerHexBox - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 072_0_54_ContainerHexBox - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 072_0_54_ContainerHexBox - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 072_0_54_ContainerHexBox - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 072_0_54_ContainerHexBox - IonCannon
IonCannonTurbo.wav		75 2800 ; 072_0_54_ContainerHexBox - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 072_0_54_ContainerHexBox - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 072_0_54_ContainerHexBox - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 072_0_54_ContainerHexBox - IonCannonStarship
unused ; 072_0_54_ContainerHexBox - unused
RebelLaser.wav			70 2000 ; 073_0_55_ContainerTube - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 073_0_55_ContainerTube - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 073_0_55_ContainerTube - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 073_0_55_ContainerTube - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 073_0_55_ContainerTube - IonCannon
IonCannonTurbo.wav		75 2800 ; 073_0_55_ContainerTube - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 073_0_55_ContainerTube - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 073_0_55_ContainerTube - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 073_0_55_ContainerTube - IonCannonStarship
unused ; 073_0_55_ContainerTube - unused
RebelLaser.wav			70 2000 ; 074_0_56_ContainerPronged - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 074_0_56_ContainerPronged - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 074_0_56_ContainerPronged - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 074_0_56_ContainerPronged - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 074_0_56_ContainerPronged - IonCannon
IonCannonTurbo.wav		75 2800 ; 074_0_56_ContainerPronged - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 074_0_56_ContainerPronged - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 074_0_56_ContainerPronged - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 074_0_56_ContainerPronged - IonCannonStarship
unused ; 074_0_56_ContainerPronged - unused
RebelLaser.wav			70 2000 ; 075_0_57_ContainerHemisphere - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 075_0_57_ContainerHemisphere - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 075_0_57_ContainerHemisphere - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 075_0_57_ContainerHemisphere - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 075_0_57_ContainerHemisphere - IonCannon
IonCannonTurbo.wav		75 2800 ; 075_0_57_ContainerHemisphere - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 075_0_57_ContainerHemisphere - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 075_0_57_ContainerHemisphere - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 075_0_57_ContainerHemisphere - IonCannonStarship
unused ; 075_0_57_ContainerHemisphere - unused
RebelLaser.wav			70 2000 ; 076_0_58_ContainerSlotted - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 076_0_58_ContainerSlotted - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 076_0_58_ContainerSlotted - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 076_0_58_ContainerSlotted - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 076_0_58_ContainerSlotted - IonCannon
IonCannonTurbo.wav		75 2800 ; 076_0_58_ContainerSlotted - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 076_0_58_ContainerSlotted - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 076_0_58_ContainerSlotted - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 076_0_58_ContainerSlotted - IonCannonStarship
unused ; 076_0_58_ContainerSlotted - unused
RebelLaser.wav			70 2000 ; 077_0_59_ContainerHourglass - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 077_0_59_ContainerHourglass - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 077_0_59_ContainerHourglass - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 077_0_59_ContainerHourglass - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 077_0_59_ContainerHourglass - IonCannon
IonCannonTurbo.wav		75 2800 ; 077_0_59_ContainerHourglass - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 077_0_59_ContainerHourglass - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 077_0_59_ContainerHourglass - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 077_0_59_ContainerHourglass - IonCannonStarship
unused ; 077_0_59_ContainerHourglass - unused
RebelLaser.wav			70 2000 ; 078_0_60_ContainerGem - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 078_0_60_ContainerGem - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 078_0_60_ContainerGem - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 078_0_60_ContainerGem - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 078_0_60_ContainerGem - IonCannon
IonCannonTurbo.wav		75 2800 ; 078_0_60_ContainerGem - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 078_0_60_ContainerGem - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 078_0_60_ContainerGem - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 078_0_60_ContainerGem - IonCannonStarship
unused ; 078_0_60_ContainerGem - unused
RebelLaser.wav			70 2000 ; 079_0_61_ContainerYshaped - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 079_0_61_ContainerYshaped - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 079_0_61_ContainerYshaped - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 079_0_61_ContainerYshaped - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 079_0_61_ContainerYshaped - IonCannon
IonCannonTurbo.wav		75 2800 ; 079_0_61_ContainerYshaped - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 079_0_61_ContainerYshaped - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 079_0_61_ContainerYshaped - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 079_0_61_ContainerYshaped - IonCannonStarship
unused ; 079_0_61_ContainerYshaped - unused
RebelLaser.wav			70 2000 ; 080_0_62_CargoCanister - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 080_0_62_CargoCanister - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 080_0_62_CargoCanister - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 080_0_62_CargoCanister - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 080_0_62_CargoCanister - IonCannon
IonCannonTurbo.wav		75 2800 ; 080_0_62_CargoCanister - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 080_0_62_CargoCanister - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 080_0_62_CargoCanister - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 080_0_62_CargoCanister - IonCannonStarship
unused ; 080_0_62_CargoCanister - unused
RebelLaser.wav			70 2000 ; 081_0_63_PropaneTank - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 081_0_63_PropaneTank - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 081_0_63_PropaneTank - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 081_0_63_PropaneTank - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 081_0_63_PropaneTank - IonCannon
IonCannonTurbo.wav		75 2800 ; 081_0_63_PropaneTank - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 081_0_63_PropaneTank - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 081_0_63_PropaneTank - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 081_0_63_PropaneTank - IonCannonStarship
unused ; 081_0_63_PropaneTank - unused
RebelLaser.wav			70 2000 ; 082_0_64_ContainerGrande - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 082_0_64_ContainerGrande - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 082_0_64_ContainerGrande - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 082_0_64_ContainerGrande - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 082_0_64_ContainerGrande - IonCannon
IonCannonTurbo.wav		75 2800 ; 082_0_64_ContainerGrande - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 082_0_64_ContainerGrande - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 082_0_64_ContainerGrande - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 082_0_64_ContainerGrande - IonCannonStarship
unused ; 082_0_64_ContainerGrande - unused
RebelLaser.wav			70 2000 ; 083_0_65_ContainerBox - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 083_0_65_ContainerBox - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 083_0_65_ContainerBox - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 083_0_65_ContainerBox - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 083_0_65_ContainerBox - IonCannon
IonCannonTurbo.wav		75 2800 ; 083_0_65_ContainerBox - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 083_0_65_ContainerBox - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 083_0_65_ContainerBox - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 083_0_65_ContainerBox - IonCannonStarship
unused ; 083_0_65_ContainerBox - unused
RebelLaser.wav			70 2000 ; 084_0_66_ContainerSphere - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 084_0_66_ContainerSphere - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 084_0_66_ContainerSphere - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 084_0_66_ContainerSphere - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 084_0_66_ContainerSphere - IonCannon
IonCannonTurbo.wav		75 2800 ; 084_0_66_ContainerSphere - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 084_0_66_ContainerSphere - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 084_0_66_ContainerSphere - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 084_0_66_ContainerSphere - IonCannonStarship
unused ; 084_0_66_ContainerSphere - unused
RebelLaser.wav			70 2000 ; 085_0_67_ContainerHanger - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 085_0_67_ContainerHanger - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 085_0_67_ContainerHanger - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 085_0_67_ContainerHanger - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 085_0_67_ContainerHanger - IonCannon
IonCannonTurbo.wav		75 2800 ; 085_0_67_ContainerHanger - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 085_0_67_ContainerHanger - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 085_0_67_ContainerHanger - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 085_0_67_ContainerHanger - IonCannonStarship
unused ; 085_0_67_ContainerHanger - unused
RebelLaser.wav			70 2000 ; 086__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 086__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 086__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 086__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 086__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 086__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 086__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 086__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 086__1_0 - IonCannonStarship
unused ; 086__1_0 - unused
RebelLaser.wav			70 2000 ; 087__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 087__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 087__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 087__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 087__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 087__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 087__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 087__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 087__1_0 - IonCannonStarship
unused ; 087__1_0 - unused
RebelLaser.wav			70 2000 ; 088__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 088__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 088__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 088__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 088__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 088__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 088__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 088__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 088__1_0 - IonCannonStarship
unused ; 088__1_0 - unused
RebelLaser.wav			70 2000 ; 089__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 089__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 089__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 089__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 089__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 089__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 089__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 089__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 089__1_0 - IonCannonStarship
unused ; 089__1_0 - unused
RebelLaser.wav			70 2000 ; 090__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 090__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 090__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 090__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 090__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 090__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 090__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 090__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 090__1_0 - IonCannonStarship
unused ; 090__1_0 - unused
RebelLaser.wav			70 2000 ; 091_0_68_BulkFreighter - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 091_0_68_BulkFreighter - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 091_0_68_BulkFreighter - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 091_0_68_BulkFreighter - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 091_0_68_BulkFreighter - IonCannon
IonCannonTurbo.wav		75 2800 ; 091_0_68_BulkFreighter - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 091_0_68_BulkFreighter - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 091_0_68_BulkFreighter - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 091_0_68_BulkFreighter - IonCannonStarship
unused ; 091_0_68_BulkFreighter - unused
RebelLaser.wav			70 2000 ; 092_0_69_CargoFerry - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 092_0_69_CargoFerry - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 092_0_69_CargoFerry - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 092_0_69_CargoFerry - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 092_0_69_CargoFerry - IonCannon
IonCannonTurbo.wav		75 2800 ; 092_0_69_CargoFerry - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 092_0_69_CargoFerry - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 092_0_69_CargoFerry - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 092_0_69_CargoFerry - IonCannonStarship
unused ; 092_0_69_CargoFerry - unused
RebelLaser.wav			70 2000 ; 093_0_70_ModularConveyor - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 093_0_70_ModularConveyor - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 093_0_70_ModularConveyor - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 093_0_70_ModularConveyor - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 093_0_70_ModularConveyor - IonCannon
IonCannonTurbo.wav		75 2800 ; 093_0_70_ModularConveyor - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 093_0_70_ModularConveyor - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 093_0_70_ModularConveyor - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 093_0_70_ModularConveyor - IonCannonStarship
unused ; 093_0_70_ModularConveyor - unused
RebelLaser.wav			70 2000 ; 094_0_71_ContainerTransport - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 094_0_71_ContainerTransport - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 094_0_71_ContainerTransport - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 094_0_71_ContainerTransport - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 094_0_71_ContainerTransport - IonCannon
IonCannonTurbo.wav		75 2800 ; 094_0_71_ContainerTransport - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 094_0_71_ContainerTransport - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 094_0_71_ContainerTransport - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 094_0_71_ContainerTransport - IonCannonStarship
unused ; 094_0_71_ContainerTransport - unused
RebelLaser.wav			70 2000 ; 095_0_72_TunaBoat2 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 095_0_72_TunaBoat2 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 095_0_72_TunaBoat2 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 095_0_72_TunaBoat2 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 095_0_72_TunaBoat2 - IonCannon
IonCannonTurbo.wav		75 2800 ; 095_0_72_TunaBoat2 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 095_0_72_TunaBoat2 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 095_0_72_TunaBoat2 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 095_0_72_TunaBoat2 - IonCannonStarship
unused ; 095_0_72_TunaBoat2 - unused
RebelLaser.wav			70 2000 ; 096_0_73_StarGalleon - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 096_0_73_StarGalleon - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 096_0_73_StarGalleon - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 096_0_73_StarGalleon - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 096_0_73_StarGalleon - IonCannon
IonCannonTurbo.wav		75 2800 ; 096_0_73_StarGalleon - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 096_0_73_StarGalleon - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 096_0_73_StarGalleon - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 096_0_73_StarGalleon - IonCannonStarship
unused ; 096_0_73_StarGalleon - unused
RebelLaser.wav			70 2000 ; 097_0_74_ModActionTransport - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 097_0_74_ModActionTransport - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 097_0_74_ModActionTransport - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 097_0_74_ModActionTransport - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 097_0_74_ModActionTransport - IonCannon
IonCannonTurbo.wav		75 2800 ; 097_0_74_ModActionTransport - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 097_0_74_ModActionTransport - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 097_0_74_ModActionTransport - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 097_0_74_ModActionTransport - IonCannonStarship
unused ; 097_0_74_ModActionTransport - unused
RebelLaser.wav			70 2000 ; 098_0_75_MobquetTransport - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 098_0_75_MobquetTransport - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 098_0_75_MobquetTransport - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 098_0_75_MobquetTransport - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 098_0_75_MobquetTransport - IonCannon
IonCannonTurbo.wav		75 2800 ; 098_0_75_MobquetTransport - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 098_0_75_MobquetTransport - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 098_0_75_MobquetTransport - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 098_0_75_MobquetTransport - IonCannonStarship
unused ; 098_0_75_MobquetTransport - unused
RebelLaser.wav			70 2000 ; 099_0_76_XiytiarTransport - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 099_0_76_XiytiarTransport - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 099_0_76_XiytiarTransport - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 099_0_76_XiytiarTransport - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 099_0_76_XiytiarTransport - IonCannon
IonCannonTurbo.wav		75 2800 ; 099_0_76_XiytiarTransport - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 099_0_76_XiytiarTransport - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 099_0_76_XiytiarTransport - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 099_0_76_XiytiarTransport - IonCannonStarship
unused ; 099_0_76_XiytiarTransport - unused
RebelLaser.wav			70 2000 ; 100_0_77_FreighterConB - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 100_0_77_FreighterConB - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 100_0_77_FreighterConB - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 100_0_77_FreighterConB - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 100_0_77_FreighterConB - IonCannon
IonCannonTurbo.wav		75 2800 ; 100_0_77_FreighterConB - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 100_0_77_FreighterConB - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 100_0_77_FreighterConB - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 100_0_77_FreighterConB - IonCannonStarship
unused ; 100_0_77_FreighterConB - unused
RebelLaser.wav			70 2000 ; 101_0_78_FreighterConG - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 101_0_78_FreighterConG - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 101_0_78_FreighterConG - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 101_0_78_FreighterConG - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 101_0_78_FreighterConG - IonCannon
IonCannonTurbo.wav		75 2800 ; 101_0_78_FreighterConG - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 101_0_78_FreighterConG - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 101_0_78_FreighterConG - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 101_0_78_FreighterConG - IonCannonStarship
unused ; 101_0_78_FreighterConG - unused
RebelLaser.wav			70 2000 ; 102_0_79_FreighterBox - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 102_0_79_FreighterBox - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 102_0_79_FreighterBox - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 102_0_79_FreighterBox - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 102_0_79_FreighterBox - IonCannon
IonCannonTurbo.wav		75 2800 ; 102_0_79_FreighterBox - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 102_0_79_FreighterBox - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 102_0_79_FreighterBox - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 102_0_79_FreighterBox - IonCannonStarship
unused ; 102_0_79_FreighterBox - unused
RebelLaser.wav			70 2000 ; 103_0_0_Xwing - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 103_0_0_Xwing - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 103_0_0_Xwing - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 103_0_0_Xwing - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 103_0_0_Xwing - IonCannon
IonCannonTurbo.wav		75 2800 ; 103_0_0_Xwing - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 103_0_0_Xwing - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 103_0_0_Xwing - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 103_0_0_Xwing - IonCannonStarship
unused ; 103_0_0_Xwing - unused
RebelLaser.wav			70 2000 ; 104_0_0_Xwing - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 104_0_0_Xwing - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 104_0_0_Xwing - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 104_0_0_Xwing - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 104_0_0_Xwing - IonCannon
IonCannonTurbo.wav		75 2800 ; 104_0_0_Xwing - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 104_0_0_Xwing - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 104_0_0_Xwing - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 104_0_0_Xwing - IonCannonStarship
unused ; 104_0_0_Xwing - unused
RebelLaser.wav			70 2000 ; 105_0_136_CrewCabinFront - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 105_0_136_CrewCabinFront - RebelLaserTurbo
